(node:18892) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/viewAsProjectionClient.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 1760ms

○ Compiling /captain-dashboard ...
 GET /api/system-settings 200 in 28ms (next.js: 5ms, proxy.ts: 12ms, application-code: 11ms)
 GET /api/system-settings 200 in 33ms (next.js: 4ms, proxy.ts: 13ms, application-code: 16ms)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 2.0s

○ Compiling / ...
 GET / 200 in 10.5s (next.js: 9.6s, proxy.ts: 215ms, application-code: 667ms)
 GET /captain-dashboard 200 in 10.5s (next.js: 9.6s, proxy.ts: 215ms, application-code: 686ms)
 GET /view-as-test?member=8 200 in 1254ms (next.js: 1063ms, proxy.ts: 18ms, application-code: 172ms)
 GET /api/system-settings 200 in 2.2s (next.js: 2.1s, proxy.ts: 9ms, application-code: 68ms)
 GET /api/system-settings 200 in 334ms (next.js: 8ms, proxy.ts: 295ms, application-code: 30ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 2.2s (next.js: 1335ms, proxy.ts: 295ms, application-code: 522ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 2.2s (next.js: 1336ms, proxy.ts: 295ms, application-code: 524ms)
 GET /api/system-settings 200 in 1882ms (next.js: 400ms, proxy.ts: 1436ms, application-code: 46ms)
 GET /api/system-settings 200 in 764ms (next.js: 433ms, proxy.ts: 320ms, application-code: 12ms)
 GET /api/system-settings 200 in 72ms (next.js: 12ms, proxy.ts: 37ms, application-code: 23ms)
 GET / 200 in 2.3s (next.js: 1336ms, proxy.ts: 296ms, application-code: 653ms)
 GET /captain-dashboard 200 in 152ms (next.js: 37ms, proxy.ts: 9ms, application-code: 105ms)
 GET /api/system-settings 200 in 66ms (next.js: 13ms, proxy.ts: 34ms, application-code: 20ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 1385ms (next.js: 1335ms, proxy.ts: 17ms, application-code: 33ms)
