(node:4180) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/viewAsProjectionClient.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3076
- Network:       http://192.168.4.44:3076
✓ Ready in 1839ms

○ Compiling /view-as-test ...
 GET /api/system-settings 200 in 35ms (next.js: 3ms, proxy.ts: 11ms, application-code: 21ms)
 GET /api/notification-templates?template_key=player_login_popup 200 in 1302ms (next.js: 1275ms, proxy.ts: 11ms, application-code: 17ms)
 GET /api/notification-templates?template_key=captain_login_popup 200 in 1304ms (next.js: 1275ms, proxy.ts: 11ms, application-code: 19ms)
 GET /api/notification-templates?template_key=player_guide_pdf 200 in 1377ms (next.js: 1259ms, proxy.ts: 70ms, application-code: 49ms)
 GET /api/notification-templates?template_key=captain_guide_pdf 200 in 1318ms (next.js: 34ms, proxy.ts: 1260ms, application-code: 24ms)
 GET /api/notification-template-history 200 in 1575ms (next.js: 1258ms, proxy.ts: 70ms, application-code: 248ms)
 POST /api/match-setup-reminders 200 in 1604ms (next.js: 1256ms, proxy.ts: 72ms, application-code: 276ms)
 GET /api/notification-templates?template_key=admin_guide_pdf 200 in 353ms (next.js: 14ms, proxy.ts: 121ms, application-code: 218ms)
 GET /members 200 in 385ms (next.js: 51ms, proxy.ts: 121ms, application-code: 213ms)
 GET /api/system-settings 200 in 30ms (next.js: 5ms, proxy.ts: 10ms, application-code: 14ms)
 GET /api/admin/member-directory?mode=members&page=1&pageSize=100&search=&includeInactive=false&currentRosterOnly=false&sort=member&direction=asc 500 in 38ms (next.js: 7ms, proxy.ts: 12ms, application-code: 19ms)
 GET /api/system-settings 200 in 35ms (next.js: 6ms, proxy.ts: 19ms, application-code: 9ms)
 GET /api/system-settings 200 in 22ms (next.js: 4ms, proxy.ts: 6ms, application-code: 13ms)
 GET /api/system-settings 200 in 35ms (next.js: 7ms, proxy.ts: 12ms, application-code: 16ms)
 GET /members/10000000-0000-4000-8000-000000000002 200 in 1188ms (next.js: 1125ms, proxy.ts: 9ms, application-code: 55ms)
 GET /api/system-settings 200 in 35ms (next.js: 3ms, proxy.ts: 9ms, application-code: 22ms)
 GET /api/system-settings 200 in 26ms (next.js: 6ms, proxy.ts: 11ms, application-code: 10ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000002 200 in 43ms (next.js: 10ms, proxy.ts: 19ms, application-code: 14ms)
 GET /api/system-settings 200 in 116ms (next.js: 87ms, proxy.ts: 17ms, application-code: 12ms)
 GET /api/view-as/start 200 in 152ms (next.js: 19ms, proxy.ts: 100ms, application-code: 34ms)
 GET /api/view-as/start 200 in 157ms (next.js: 36ms, proxy.ts: 96ms, application-code: 25ms)
 GET /api/system-settings 200 in 65ms (next.js: 7ms, proxy.ts: 49ms, application-code: 9ms)
 GET /teams 200 in 1182ms (next.js: 994ms, proxy.ts: 6ms, application-code: 182ms)
 GET /api/system-settings 200 in 67ms (next.js: 27ms, proxy.ts: 6ms, application-code: 34ms)
 GET /api/system-settings 200 in 20ms (next.js: 4ms, proxy.ts: 8ms, application-code: 7ms)
 GET /api/system-settings 200 in 22ms (next.js: 5ms, proxy.ts: 10ms, application-code: 7ms)
 GET /api/system-settings 200 in 21ms (next.js: 3ms, proxy.ts: 9ms, application-code: 10ms)
 GET /divisions 200 in 1051ms (next.js: 849ms, proxy.ts: 6ms, application-code: 197ms)
 GET /api/system-settings 200 in 58ms (next.js: 37ms, proxy.ts: 6ms, application-code: 15ms)
 GET /api/system-settings 200 in 19ms (next.js: 2ms, proxy.ts: 6ms, application-code: 11ms)
 GET /api/system-settings 200 in 29ms (next.js: 5ms, proxy.ts: 12ms, application-code: 13ms)
 GET /locations 200 in 894ms (next.js: 747ms, proxy.ts: 6ms, application-code: 142ms)
 GET /api/system-settings 200 in 66ms (next.js: 31ms, proxy.ts: 20ms, application-code: 16ms)
 GET /api/system-settings 200 in 28ms (next.js: 7ms, proxy.ts: 9ms, application-code: 11ms)
